,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
2591,NonResidential,Small- and Mid-Sized Office,3,East,1922,1.0,3.0,27600,0,27600,Office,13175.0,9175.0,0.0,1103795.25,12.57,84.0
2592,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1907,1.0,3.0,26684,0,26684,Multifamily Housing,26684.0,0.0,0.0,660975.375,4.13,93.0
2593,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1923,1.0,6.0,72576,0,72576,Multifamily Housing,72576.0,0.0,0.0,4086985.5,166.43,97.0
2594,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1926,1.0,6.0,33279,0,33279,Multifamily Housing,31779.0,0.0,0.0,2944557.75,119.99,78.0
2595,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1925,1.0,8.0,57504,0,57504,Multifamily Housing,49357.0,8147.0,0.0,1892150.5,37.84,93.0
2596,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1906,1.0,3.0,25536,0,25536,Multifamily Housing,25536.0,0.0,0.0,1893665.25,72.86,97.0
2597,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1989,1.0,4.0,30720,0,30720,Multifamily Housing,30720.0,13500.0,0.0,960063.6875,6.38,87.0
2598,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1987,1.0,4.0,44832,0,44832,Multifamily Housing,38850.0,0.0,0.0,861295.8125,5.68,90.0
2599,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1968,1.0,4.0,78120,0,78120,Multifamily Housing,69822.0,0.0,0.0,1476322.875,9.65,99.0
2600,NonResidential,Senior Care Community,6,Northwest,1961,1.0,2.0,55974,0,55974,Senior Care Community,56000.0,0.0,0.0,6412428.0,203.21,98.0
2601,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1916,1.0,3.0,28256,0,28256,Multifamily Housing,28256.0,0.0,0.0,645927.625,5.63,93.0
2602,Multifamily LR (1-4),Low-Rise Multifamily,4,Northwest,2001,1.0,4.0,39235,0,39235,Multifamily Housing,20237.0,1155.0,0.0,646609.3125,4.32,
2603,SPS-District K-12,K-12 School,2,Greater duwamish,1971,1.0,2.0,52901,0,52901,K-12 School,52901.0,0.0,0.0,2508012.0,60.2,75.0
2604,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1968,1.0,3.0,59502,0,59502,Multifamily Housing,53747.0,0.0,0.0,2160313.5,13.95,27.0
2605,NonResidential,Senior Care Community,5,North,1954,1.0,1.0,22583,0,22583,Senior Care Community,22583.0,0.0,0.0,2123591.75,70.92,95.0
2606,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1978,1.0,3.0,21712,0,21712,Multifamily Housing,21712.0,0.0,0.0,734474.8125,4.78,
2607,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1925,1.0,3.0,28187,0,28187,Multifamily Housing,28187.0,0.0,0.0,635015.3125,19.15,96.0
2609,NonResidential,Small- and Mid-Sized Office,4,Lake union,1981,1.0,3.0,26694,6034,20660,Office,24914.0,4720.0,0.0,735909.0,5.02,92.0
2610,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1967,1.0,4.0,21440,0,21440,Multifamily Housing,21440.0,0.0,0.0,567508.5,3.71,69.0
2611,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1969,1.0,3.0,20143,0,20143,Multifamily Housing,20143.0,0.0,0.0,644526.8125,4.24,46.0
2613,NonResidential,Warehouse,5,Northwest,1972,1.0,1.0,29400,0,29400,Non-Refrigerated Warehouse,25000.0,0.0,0.0,227509.5,1.59,69.0
2614,NonResidential,Hotel,2,Greater duwamish,1992,1.0,3.0,22452,0,22452,Hotel,22452.0,0.0,0.0,1269576.0,41.88,85.0
2615,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1989,1.0,6.0,113665,0,113665,Multifamily Housing,113665.0,0.0,0.0,2718882.0,51.62,95.0
2616,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1998,1.0,3.0,20448,0,20448,Multifamily Housing,20041.0,0.0,0.0,849966.3125,20.88,
2617,Multifamily HR (10+),High-Rise Multifamily,4,Northeast,1971,1.0,10.0,78600,0,78600,Multifamily Housing,78600.0,0.0,0.0,3868281.75,53.87,41.0
2618,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1928,1.0,3.0,27996,0,27996,Multifamily Housing,23840.0,4156.0,0.0,893266.1875,23.22,89.0
2619,NonResidential,Other,4,Northeast,1912,1.0,2.0,25767,0,25767,Bank Branch,17434.0,0.0,0.0,1620383.625,11.02,22.0
2620,NonResidential,Retail Store,4,Northeast,1953,1.0,4.0,33910,0,33910,Retail Store,14585.0,14462.0,0.0,1904055.75,38.21,75.0
2621,NonResidential,Worship Facility,4,Northeast,1927,1.0,2.0,78401,0,78401,Worship Facility,62400.0,9940.0,4960.0,2846592.0,87.41,
2622,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1923,1.0,3.0,26008,0,26008,Multifamily Housing,24000.0,0.0,0.0,1236774.0,49.59,83.0
2623,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1999,1.0,4.0,34962,0,34962,Multifamily Housing,34962.0,0.0,0.0,762310.6875,5.08,74.0
2624,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1959,1.0,4.0,26185,0,26185,Multifamily Housing,26185.0,8000.0,0.0,666194.8125,4.36,90.0
2625,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,2007,1.0,7.0,130600,0,130600,Multifamily Housing,130600.0,33395.0,0.0,3459830.75,23.42,92.0
2626,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1926,1.0,3.0,22018,0,22018,Multifamily Housing,22018.0,1416.0,0.0,574656.6875,15.11,92.0
2627,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1983,1.0,4.0,25721,0,25721,Multifamily Housing,24451.0,1284.0,0.0,995226.625,6.61,21.0
2628,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1985,1.0,3.0,27432,0,27432,Multifamily Housing,28026.0,8330.0,0.0,849073.8125,5.51,87.0
2629,Multifamily MR (5-9),Senior Care Community,6,Northwest,1955,1.0,7.0,95599,0,95599,Senior Care Community,91900.0,0.0,0.0,8877094.0,320.96,44.0
2630,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1930,1.0,3.0,32810,5634,27176,Multifamily Housing,27176.0,5634.0,0.0,2202585.0,94.22,70.0
2631,NonResidential,Warehouse,4,Lake union,1979,1.0,2.0,78716,0,78716,Non-Refrigerated Warehouse,41275.0,29399.0,6278.0,4311327.5,48.13,38.0
2632,NonResidential,K-12 School,4,Lake union,1910,1.0,2.0,33300,0,33300,K-12 School,30740.0,0.0,0.0,1903636.375,69.2,92.0
2633,NonResidential,Supermarket / Grocery Store,4,Lake union,1957,1.0,1.0,28808,0,28808,Supermarket/Grocery Store,31174.0,0.0,0.0,9450746.0,226.73,29.0
2634,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1978,1.0,4.0,23101,0,23101,Multifamily Housing,23101.0,0.0,0.0,687486.0,4.52,65.0
2635,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1974,1.0,4.0,81821,0,81821,Multifamily Housing,68149.0,0.0,0.0,2563977.75,16.76,30.0
2636,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1908,1.0,3.0,135608,0,135608,Multifamily Housing,167409.0,26234.0,0.0,5537844.5,95.77,83.0
2637,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1990,1.0,4.0,41126,0,41126,Multifamily Housing,41126.0,0.0,0.0,2260147.0,58.79,26.0
2638,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1977,1.0,4.0,29088,0,29088,Multifamily Housing,24288.0,4860.0,0.0,612345.5,3.98,92.0
2639,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1965,1.0,4.0,30034,1874,28160,Multifamily Housing,28160.0,0.0,0.0,718817.375,4.67,95.0
2640,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1975,1.0,6.0,30481,8076,22405,Multifamily Housing,17256.0,5318.0,5149.0,653307.5,4.13,
2641,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1981,1.0,5.0,20280,0,20280,Multifamily Housing,15524.0,4756.0,0.0,614055.5,4.02,
2642,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1997,1.0,4.0,43644,10463,33181,Multifamily Housing,28289.0,5000.0,0.0,1099143.875,27.47,88.0
2643,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1998,1.0,5.0,37002,0,37002,Multifamily Housing,37000.0,0.0,0.0,740790.5,5.16,98.0
2644,NonResidential,Small- and Mid-Sized Office,4,Northeast,1957,1.0,1.0,27966,7004,20962,Office,20962.0,7004.0,0.0,1181649.25,7.67,58.0
2645,NonResidential,Supermarket / Grocery Store,4,Northeast,1950,1.0,1.0,26226,0,26226,Supermarket/Grocery Store,25828.0,0.0,0.0,7798479.5,156.18,37.0
2646,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1919,1.0,4.0,20600,0,20600,Multifamily Housing,16480.0,4120.0,0.0,1504697.25,60.47,
2648,NonResidential,Mixed Use Property,4,Northeast,1976,1.0,2.0,34948,15755,19193,Bank Branch,19183.0,19183.0,0.0,1223177.375,8.09,17.0
2649,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1925,1.0,3.0,34090,0,34090,Multifamily Housing,34090.0,0.0,0.0,1070145.375,7.16,66.0
2650,Multifamily HR (10+),Senior Care Community,6,Northwest,1965,1.0,10.0,198752,0,198752,Senior Care Community,198752.0,30000.0,0.0,23464030.0,865.48,24.0
2651,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1958,1.0,3.0,38035,0,38035,Multifamily Housing,38035.0,0.0,0.0,981119.6875,14.37,86.0
2652,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,2008,1.0,4.0,191226,128050,63176,Multifamily Housing,299642.0,128050.0,6578.0,9261138.0,231.75,85.0
2653,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1986,1.0,4.0,55624,0,55624,Multifamily Housing,41026.0,14598.0,0.0,1118367.75,7.46,97.0
2654,Multifamily HR (10+),High-Rise Multifamily,6,Northwest,1969,1.0,11.0,94410,0,94410,Multifamily Housing,94410.0,0.0,0.0,5357211.5,80.47,22.0
2655,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1910,1.0,5.0,40420,0,40420,Multifamily Housing,40420.0,0.0,0.0,1471417.75,38.97,96.0
2656,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,2004,1.0,5.0,26583,0,26583,Multifamily Housing,20000.0,1768.0,0.0,1575380.75,33.26,
2657,NonResidential,Small- and Mid-Sized Office,4,Lake union,1998,1.0,3.0,37639,9999,27640,Office,20434.0,7557.0,0.0,6197824.5,43.21,
2658,Multifamily LR (1-4),Low-Rise Multifamily,7,Downtown,1900,1.0,4.0,21840,0,21840,Multifamily Housing,21840.0,4752.0,0.0,484202.0,3.29,98.0
2659,NonResidential,Small- and Mid-Sized Office,7,Downtown,1900,1.0,4.0,22840,0,22840,Office,18400.0,4440.0,0.0,983053.375,6.14,64.0
2660,NonResidential,Other,7,Downtown,1900,1.0,1.0,21420,0,21420,Museum,10420.0,5000.0,2000.0,812371.625,9.72,
2661,NonResidential,Small- and Mid-Sized Office,7,Downtown,1900,1.0,1.0,20880,0,20880,Office,20880.0,0.0,0.0,683274.0,4.76,94.0
2662,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,1900,1.0,5.0,38765,2280,36485,Multifamily Housing,26759.0,0.0,0.0,593629.875,3.82,93.0
2663,NonResidential,Mixed Use Property,7,Downtown,1966,1.0,3.0,26000,0,26000,Office,13000.0,13000.0,0.0,1063035.875,18.62,
2664,NonResidential,Small- and Mid-Sized Office,7,Downtown,1900,1.0,3.0,38675,0,38675,Office,12100.0,4281.0,0.0,1956121.125,43.91,
2665,Nonresidential COS,Small- and Mid-Sized Office,7,Downtown,1929,1.0,4.0,49951,0,49951,Office,32039.0,24035.0,0.0,5683758.0,185.33,
2666,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,3.0,23052,0,23052,Multifamily Housing,32947.0,0.0,0.0,792814.0,7.07,72.0
2667,Multifamily LR (1-4),Low-Rise Multifamily,7,Downtown,2005,1.0,4.0,41461,0,41461,Multifamily Housing,33695.0,7993.0,0.0,3379950.0,108.79,25.0
2668,NonResidential,Medical Office,2,Southeast,2010,1.0,2.0,25880,0,25880,Medical Office,25880.0,0.0,0.0,1956483.5,19.81,8.0
2669,Multifamily MR (5-9),Mid-Rise Multifamily,2,Southeast,1971,1.0,6.0,65418,0,65418,Multifamily Housing,65418.0,0.0,0.0,2657218.25,46.14,83.0
2670,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,2007,1.0,4.0,65161,0,65161,Multifamily Housing,65161.0,19205.0,0.0,2003156.25,13.08,60.0
2671,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1981,1.0,4.0,28753,5782,22971,Multifamily Housing,22971.0,5782.0,0.0,789667.3125,5.11,57.0
2672,NonResidential,Worship Facility,4,Northeast,1927,1.0,3.0,41013,0,41013,Worship Facility,32098.0,2310.0,0.0,1191549.25,37.43,
2673,Multifamily LR (1-4),Other,4,Northeast,1928,1.0,3.0,22232,0,22232,Other - Lodging/Residential,22232.0,0.0,0.0,1326044.5,46.67,
2674,NonResidential,Other,4,Northeast,2004,1.0,2.0,21075,0,21075,Social/Meeting Hall,18075.0,3000.0,0.0,1715969.625,53.88,
2675,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1977,1.0,3.0,30358,0,30358,Multifamily Housing,25076.0,5282.0,0.0,598220.5,3.97,94.0
2676,NonResidential,Worship Facility,4,Northeast,1950,1.0,3.0,46485,0,46485,Worship Facility,63922.0,0.0,0.0,1689227.75,47.03,83.0
2677,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1958,1.0,3.0,25943,0,25943,Multifamily Housing,25943.0,2640.0,0.0,653913.0,4.29,81.0
2678,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1989,2.0,4.0,36992,0,36992,Multifamily Housing,23204.0,8917.0,0.0,590003.125,3.92,95.0
2679,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1988,1.0,4.0,27770,0,27770,Multifamily Housing,27770.0,0.0,0.0,592575.875,4.52,94.0
2680,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1991,1.0,4.0,52263,0,52263,Multifamily Housing,52263.0,0.0,0.0,1320482.25,29.39,96.0
2681,NonResidential,Small- and Mid-Sized Office,6,Northwest,1965,1.0,4.0,56896,0,56896,Office,40768.0,16128.0,0.0,1507071.5,28.46,96.0
2682,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1986,1.0,4.0,31023,0,31023,Multifamily Housing,31023.0,0.0,0.0,1025455.5,6.7,39.0
2683,NonResidential,Worship Facility,6,Northwest,1978,1.0,2.0,27500,0,27500,Worship Facility,27500.0,0.0,0.0,654455.1875,14.79,60.0
2684,NonResidential,Small- and Mid-Sized Office,2,Downtown,1930,1.0,2.0,36630,0,36630,Office,22000.0,11000.0,0.0,541943.3125,3.78,90.0
2686,NonResidential,Small- and Mid-Sized Office,7,Downtown,1906,1.0,5.0,41920,0,41920,Office,41920.0,0.0,0.0,1103594.75,7.69,95.0
2687,NonResidential,Small- and Mid-Sized Office,7,Downtown,1905,1.0,5.0,36879,0,36879,Office,44000.0,0.0,0.0,1664247.375,26.94,92.0
2688,NonResidential,Other,7,Downtown,1904,1.0,6.0,29820,0,29820,Other - Lodging/Residential,29820.0,0.0,0.0,1624991.375,35.72,
2689,Multifamily HR (10+),High-Rise Multifamily,7,Downtown,2007,1.0,13.0,90959,0,90959,Multifamily Housing,90959.0,0.0,0.0,4708260.5,105.97,57.0
2690,Multifamily HR (10+),High-Rise Multifamily,7,Downtown,1908,1.0,11.0,177364,0,177364,Multifamily Housing,157625.0,1500.0,875.0,9467508.0,393.2,
2691,Multifamily LR (1-4),Low-Rise Multifamily,7,Downtown,1905,1.0,4.0,25027,0,25027,Multifamily Housing,43200.0,0.0,0.0,2233247.5,66.69,42.0
2693,NonResidential,Warehouse,7,Downtown,1906,1.0,4.0,43484,0,43484,Non-Refrigerated Warehouse,26416.0,9531.0,7537.0,1567040.75,10.92,18.0
2694,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1910,1.0,9.0,142510,0,142510,Multifamily Housing,150198.0,46080.0,0.0,11756168.0,399.73,
2695,Multifamily HR (10+),High-Rise Multifamily,2,Downtown,1979,1.0,12.0,74327,0,74327,Multifamily Housing,74327.0,0.0,0.0,4473820.5,96.59,24.0
2696,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1926,1.0,2.0,20304,0,20304,Multifamily Housing,10736.0,9568.0,0.0,1502577.75,60.32,98.0
2697,NonResidential,Mixed Use Property,2,Downtown,1900,1.0,3.0,22480,0,22480,Office,10800.0,10800.0,7200.0,981009.125,6.84,
2698,NonResidential,Hotel,2,Downtown,1925,1.0,4.0,33018,0,33018,Hotel,23193.0,6165.0,0.0,5153234.0,173.67,49.0
2699,Multifamily LR (1-4),Senior Care Community,2,Downtown,1998,1.0,3.0,43380,0,43380,Senior Care Community,43380.0,0.0,0.0,3164265.0,94.23,48.0
2700,NonResidential,Small- and Mid-Sized Office,2,Downtown,1970,1.0,2.0,26510,0,26510,Office,30800.0,0.0,0.0,1017753.188,11.18,91.0
2701,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1961,3.0,4.0,72566,0,72566,Multifamily Housing,72666.0,0.0,0.0,2436245.75,13.65,98.0
2702,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1959,1.0,4.0,25966,0,25966,Multifamily Housing,25966.0,0.0,0.0,1011669.813,6.57,34.0
2703,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,1996,1.0,5.0,33456,0,33456,Multifamily Housing,20058.0,13398.0,0.0,856251.6875,5.77,93.0
2704,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1966,1.0,4.0,63336,0,63336,Multifamily Housing,63336.0,0.0,0.0,2022622.25,12.85,53.0
2705,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1998,1.0,4.0,63236,5958,57278,Multifamily Housing,63236.0,0.0,0.0,1980261.25,37.51,78.0
2706,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1982,1.0,3.0,44202,0,44202,Multifamily Housing,44202.0,1950.0,0.0,1212003.25,7.87,79.0
2707,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1961,1.0,6.0,80539,0,80539,Multifamily Housing,66307.0,0.0,0.0,7481662.5,299.38,22.0
2708,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1959,1.0,3.0,45067,0,45067,Multifamily Housing,45067.0,0.0,0.0,2099281.25,85.22,84.0
2709,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1989,1.0,3.0,21990,0,21990,Multifamily Housing,21990.0,9000.0,0.0,670044.375,4.43,79.0
2710,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1984,4.0,4.0,90372,0,90372,Multifamily Housing,78222.0,12150.0,0.0,1837607.75,12.06,83.0
2711,Multifamily HR (10+),High-Rise Multifamily,3,East,1962,1.0,11.0,67813,0,67813,Multifamily Housing,67813.0,14924.0,0.0,3349365.5,86.5,77.0
2712,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1999,1.0,4.0,38270,0,38270,Multifamily Housing,22637.0,5778.0,464.0,1113171.125,22.89,53.0
2713,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,1901,1.0,6.0,132150,0,132150,Multifamily Housing,35415.0,9276.0,7216.0,6056928.5,151.91,
2714,NonResidential,Warehouse,4,Lake union,1938,1.0,1.0,40028,0,40028,Non-Refrigerated Warehouse,33222.0,10208.0,6200.0,942415.1875,6.76,80.0
2715,NonResidential,Small- and Mid-Sized Office,4,Lake union,2007,1.0,3.0,44510,18228,26282,Office,26282.0,18228.0,0.0,2250450.5,15.25,23.0
2716,NonResidential,Worship Facility,5,North,1954,1.0,1.0,21624,0,21624,Worship Facility,21624.0,0.0,0.0,730124.5,20.96,90.0
2717,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,2002,1.0,6.0,81608,0,81608,Multifamily Housing,57731.0,23877.0,0.0,1624487.125,12.46,95.0
2718,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1967,1.0,4.0,21841,0,21841,Multifamily Housing,21841.0,600.0,0.0,494008.0,3.18,
2719,SPS-District K-12,K-12 School,6,Northwest,1970,1.0,1.0,42239,0,42239,K-12 School,48799.0,0.0,0.0,2410752.0,72.69,83.0
2720,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1968,1.0,4.0,21880,0,21880,Multifamily Housing,16567.0,3844.0,1469.0,929954.875,6.24,
2721,SPS-District K-12,K-12 School,6,Northwest,1925,1.0,3.0,51360,0,51360,K-12 School,51026.0,0.0,0.0,1535481.375,30.22,89.0
2722,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1967,1.0,2.0,24621,0,24621,Multifamily Housing,24621.0,0.0,0.0,632873.3125,4.17,96.0
2723,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1979,1.0,8.0,75477,0,75477,Multifamily Housing,75477.0,0.0,0.0,4821274.0,93.44,16.0
2725,NonResidential,Mixed Use Property,2,Downtown,1909,1.0,3.0,20620,0,20620,Multifamily Housing,10060.0,5280.0,5280.0,791926.875,20.78,
2726,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1910,1.0,4.0,36000,0,36000,Multifamily Housing,28800.0,7200.0,0.0,1357093.0,9.2,6.0
2727,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1910,1.0,6.0,47607,12437,35170,Multifamily Housing,35000.0,6000.0,6000.0,2263110.5,48.91,99.0
2728,NonResidential,Hotel,2,Downtown,1910,1.0,5.0,40552,0,40552,Hotel,40552.0,0.0,0.0,1377497.25,53.25,99.0
2729,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1914,1.0,6.0,34848,0,34848,Multifamily Housing,37416.0,3172.0,946.0,4017640.5,161.39,
2730,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1910,1.0,3.0,27494,0,27494,Multifamily Housing,18186.0,9308.0,0.0,706783.5,4.55,
2731,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1910,1.0,4.0,23200,0,23200,Multifamily Housing,23200.0,0.0,0.0,892598.625,5.87,62.0
2732,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,1991,1.0,5.0,97737,0,97737,Multifamily Housing,97737.0,0.0,0.0,2880863.75,47.02,85.0
2733,Multifamily HR (10+),High-Rise Multifamily,2,Downtown,1973,1.0,12.0,76094,0,76094,Multifamily Housing,75565.0,0.0,0.0,3852116.5,70.4,40.0
2734,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1903,1.0,3.0,27600,0,27600,Multifamily Housing,18799.0,0.0,0.0,903976.875,5.94,76.0
2735,Multifamily MR (5-9),Senior Care Community,2,Downtown,2005,1.0,7.0,134974,0,134974,Senior Care Community,107312.0,27662.0,0.0,4882795.5,145.97,100.0
2736,NonResidential,Small- and Mid-Sized Office,2,Downtown,1909,1.0,3.0,31432,0,31432,Office,23059.0,7125.0,1248.0,1439572.375,10.04,
2737,Multifamily MR (5-9),Mid-Rise Multifamily,2,Downtown,2005,1.0,5.0,67590,0,67590,Multifamily Housing,75830.0,2500.0,0.0,3816874.0,141.88,
2738,NonResidential,Retail Store,2,Downtown,1917,1.0,2.0,24550,0,24550,Retail Store,13500.0,11050.0,0.0,1031447.625,6.73,100.0
2739,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1916,1.0,3.0,24171,0,24171,Multifamily Housing,14400.0,7200.0,2571.0,873205.875,26.48,
2740,Multifamily LR (1-4),Low-Rise Multifamily,2,Downtown,1909,1.0,4.0,34560,0,34560,Multifamily Housing,20520.0,14400.0,0.0,1125035.25,22.63,94.0
2741,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1980,1.0,3.0,57770,0,57770,Multifamily Housing,34200.0,0.0,0.0,1107703.75,7.31,71.0
2742,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1989,2.0,4.0,23341,0,23341,Multifamily Housing,23341.0,0.0,0.0,656111.375,11.42,90.0
2743,SPS-District K-12,K-12 School,4,Lake union,2000,1.0,2.0,61052,0,61052,K-12 School,61052.0,0.0,0.0,2549041.25,47.78,80.0
2744,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1949,1.0,2.0,65042,0,65042,Multifamily Housing,65042.0,0.0,0.0,2314288.75,14.82,41.0
2745,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1968,1.0,8.0,143960,0,143960,Multifamily Housing,99564.0,34610.0,0.0,3205758.5,63.34,97.0
2746,NonResidential,Other,3,Central,1908,1.0,3.0,25864,0,25864,Social/Meeting Hall,13364.0,8420.0,0.0,1028277.313,34.61,
2747,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1972,1.0,3.0,20004,0,20004,Multifamily Housing,15346.0,4658.0,0.0,503455.4063,3.28,
2748,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1979,1.0,3.0,36300,0,36300,Multifamily Housing,36300.0,0.0,0.0,644532.375,4.24,98.0
2749,Multifamily LR (1-4),University,4,Northeast,1956,1.0,3.0,20008,0,20008,College/University,20008.0,0.0,0.0,1666875.75,63.21,
2750,NonResidential,Other,4,Northeast,1924,1.0,3.0,20686,0,20686,Other - Lodging/Residential,20686.0,0.0,0.0,1321763.125,42.71,
2751,NonResidential,Residence Hall,4,Northeast,1929,1.0,3.0,22124,0,22124,Residence Hall/Dormitory,22124.0,0.0,0.0,652060.0,4.45,82.0
2752,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1988,1.0,4.0,34795,0,34795,Multifamily Housing,36112.0,18255.0,0.0,1139368.375,7.53,95.0
2753,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1999,1.0,3.0,23800,0,23800,Multifamily Housing,13200.0,10600.0,0.0,522258.3125,3.44,
2754,NonResidential,Residence Hall,4,Northeast,1926,1.0,3.0,27487,0,27487,Residence Hall/Dormitory,27487.0,0.0,0.0,1753311.875,65.95,82.0
2755,NonResidential,Residence Hall,4,Northeast,1926,1.0,4.0,23616,0,23616,Residence Hall/Dormitory,23616.0,0.0,0.0,1771038.0,53.65,55.0
2756,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1928,1.0,3.0,20629,0,20629,Multifamily Housing,20629.0,0.0,0.0,1325284.0,48.45,52.0
2757,NonResidential,Residence Hall,4,Northeast,1976,1.0,3.0,33448,0,33448,Residence Hall/Dormitory,33448.0,0.0,0.0,1073833.25,6.96,78.0
2759,NonResidential,Senior Care Community,3,Central,1987,1.0,2.0,74840,0,74840,Senior Care Community,74840.0,0.0,0.0,8485438.0,249.46,48.0
